,제목,작가,장르(태국),좋아요수,조회수,구독수,별점,회차,연재시작일(태국),마지막연재일(태국),국가,한국제목,한국작가명,회차(한국),별점(한국),관심수(한국),장르(한국),해시태그(한국),연재시작일(한국),마지막연재일(한국),완결여부,웹툰/시리즈구분,작가전작개수,OSMU여부,태국진출여부,연재기간(태국),연재기간(한국)
218,HECTOPASCAL,buffering / gil seonggeun,액션,117179,3700000,111072,9.86,44,2022-10-21,2023-08-11,한국,헥토파스칼,글 버퍼링 그림 길성근,44,9.89,97678,액션,"액션,복수극,느와르",2022-08-22,2023-06-19,False,웹툰,2,False,True,294,301.0
219,คืนใหม่ สามีใหม่,Yeoseulki / koo seul,로맨스판타지,102134,2500000,133565,9.81,26,2022-10-21,2023-08-11,한국,밤마다 남편이 바뀐다,글 구슬 그림 여슬기 원작 한윤설,45,9.94,199531,로맨스,"로맨스,2030연애,로맨스코미디,선결혼후연애,로판,소설원작",2022-12-17,2022-12-17,False,웹툰,3,False,True,294,0.0
220,Build Up,911,드라마,406202,16600000,141267,9.78,133,2022-10-21,2023-08-11,한국,빌드업,글/그림 911,146,9.98,269461,스포츠,"스포츠,2019 지상최대공모전,축구,소년왕도물,스포츠성장",2023-09-12,2023-09-12,False,웹툰,1,False,True,294,0.0
221,ทัณฑ์นรก โรรุว์,Kanor,판타지,2200000,76700000,555909,9.82,299,2022-10-21,2023-08-11,태국,,,0,,0,,,,,,,0,False,False,294,
222,How To ดัดนิสัยมาร์ควิสจอมคลั่ง,KRFFR / gol_G,로맨스판타지,461639,7100000,170365,9.73,60,2022-10-21,2023-08-11,한국,미친 후작을 길들이고 말았다,글 골지 그림 이레 원작 로판맛집,73,9.95,148965,로맨스,"로맨스,소설원작",2023-06-01,2023-06-01,False,웹툰,1,False,True,294,0.0
223,ไม่มีหรอก คู่ชีวิตที่สมบูรณ์แบบ,Lee Dahong / Long.B,로맨스,184746,5800000,132645,9.49,64,2022-07-08,2023-09-15,한국,완벽한 부부는 없다,글 롱별 그림 초이 원작 이다홍,85,9.7,104179,로맨스,"로맨스,소설원작",2022-04-08,2023-09-08,False,웹툰,2,False,True,434,518.0
224,ยุคแห่งยอดมนุษย์,Supp,액션,280464,8500000,125889,9.75,123,2021-05-21,2023-09-15,한국,초인의 시대,글/그림 섭이,148,9.96,429417,액션,"액션,최강자전,2018 최강자전,이능력배틀물,소년왕도물",2023-09-08,2023-09-08,False,웹툰,1,False,True,847,0.0
225,Moonlight Serenade คืนแสงจันทร์บรรเลงฝัน,Siradasue,로맨스,46277,843855,65731,9.85,12,2022-12-22,2023-09-14,태국,,,0,,0,,,,,,,0,False,False,266,
226,แชตกลุ่มที่ไม่มีฉัน,Bongsoo,드라마,27891,645920,24484,9.68,18,2023-05-26,2023-09-15,한국,나 없는 단톡방,글/그림 봉수,35,9.95,139062,드라마,"드라마,요즘핫한추천작,학원물",2023-09-10,2023-09-10,False,웹툰,2,False,True,112,0.0
227,นางร้ายอย่างฉันนี่แหละ จะเป็นนางเอกให้ดู,Yurinhae / Aka,로맨스판타지,386388,9700000,217918,9.49,81,2022-03-11,2023-09-15,한국,,,0,,0,,,,,,,0,False,True,553,
228,ฉันเนี่ยนะ ตัวประกอบในเกมออกเดต,Dalzo / MetalGang,로맨스판타지,235244,6000000,162469,9.34,74,2022-04-29,2023-09-15,한국,미연시게임 속 하찮은 엑스트라 [단행본],글 체르티 출판사메어리로즈,7,10.0,0,로판,로판,2022-04-04,2022-04-04,True,시리즈,1,False,True,504,0.0
229,สิ่งที่เมลวินฝากไว้,Team Happy gery / SC13,로맨스판타지,100889,2500000,99403,9.87,53,2022-09-23,2023-09-15,일본,,,0,,0,,,,,,,0,False,True,357,
230,เบ้าหน้าฟ้าประทาน,จีเอ,드라마,542079,15500000,218214,9.6,147,2020-12-04,2023-09-15,한국,얼굴천재,글/그림 지에이,166,9.82,164959,드라마,"드라마,인플루언서,완결드라마",2019-10-29,2023-01-10,True,웹툰,1,False,True,1015,1169.0
231,เจ้าโบ้ของฉันต้องได้ครองบัลลังก์,salted man / Marucomics,로맨스판타지,112604,2500000,78560,9.44,52,2022-09-30,2023-09-15,한국,내 개를 황위에 올리는 방법 [선연재],글 염장이 그림 마루코믹스,68,9.3,9,순정,순정,2022-10-08,2023-09-09,False,시리즈,4,False,True,350,336.0
232,ถึงท่านที่ไม่รักกัน,Bbada / Yeonseo,로맨스판타지,111269,3600000,115364,7.75,85,2022-02-11,2023-09-15,한국,나를 사랑하지 않는 그대에게,글 연서 그림 빠다,111,8.9,16,순정,순정,2021-09-09,2023-09-07,False,시리즈,2,False,True,581,728.0
233,สามีทิพย์ของสาวจอมเพ้อ,มุนจู,로맨스,218782,3600000,81490,9.82,98,2021-11-12,2023-09-15,한국,결혼까지 망상했어!,글/그림 문주,121,9.93,150786,로맨스,"로맨스,2020 지상최대공모전,학원로맨스,성장드라마,삼각관계,완결로맨스",2020-12-26,2023-06-24,True,웹툰,1,False,True,672,910.0
234,Black Knight,LEE YUN KYUN,판타지,17971,613510,39158,9.38,20,2023-05-12,2023-09-15,한국,택배기사,글/그림 이윤균,66,9.88,125444,액션,"액션,드라마&영화 원작웹툰,아포칼립스",2023-04-22,2023-04-22,False,웹툰,2,True,True,126,0.0
235,Make Over ขอเปลี่ยนเธอให้เป็นนางพญา,หนอน,로맨스,314923,6700000,129580,9.66,106,2021-05-28,2023-09-14,태국,,,0,,0,,,,,,,0,False,False,839,
236,บูรพาราชัน,ลีดันอี / ชินจีอู,판타지,65864,1600000,48375,9.1,96,2021-11-26,2023-09-15,한국,동군 [올컬러],글 이단이 그림 신지우,136,9.4,15,소년,소년,2021-02-09,2023-09-01,False,시리즈,1,False,True,658,934.0
237,Crimson Heart,HYBE,판타지,21425,461352,25175,9.74,42,2022-11-25,2023-09-15,한국,크림슨 하트,글/그림 HYBE,50,9.28,16360,판타지,"판타지,세계관,이세계,걸크러시",2023-09-07,2023-09-07,False,웹툰,6,False,True,294,0.0
238,แผนครองใจนายสองบุคลิก,Aga,로맨스,48095,1300000,64985,9.62,63,2022-07-15,2023-09-15,중국,,,0,,0,,,,,,,0,False,True,427,
239,หวนคืนสู่ฮวาซาน,LICO / BIGA,판타지,480934,13000000,236734,9.78,1,2021-06-18,2021-06-18,한국,화산귀환,글/그림 LICO 원작 비가,90,9.94,1157195,무협/사극,"무협/사극,세계관,동양풍판타지,회귀,힘숨찐,이세계,먼치킨,소설원작",2021-03-23,2023-09-12,False,웹툰,13,False,True,0,903.0
240,หวนคืนแรงเกอร์ระดับ 0.001%,yuni / youwoori,판타지,13096,469342,22155,9.53,3,2023-06-23,2023-06-23,한국,상위 0.001% 랭커의 귀환,글/그림 팀 감자스콘6 원작 유우리,38,9.46,138274,판타지,"판타지,회귀,힘숨찐,소설원작",2023-04-05,2023-04-05,False,웹툰,1,False,True,0,0.0
241,ดันเจี้ยนโคตรหิน,Ddaengdol / Kimjaka,판타지,7848,199402,13548,9.57,3,2023-07-14,2023-07-14,한국,던전 탈출이 너무 힘들다,글 김자까 그림 땡돌 원작 핫식스,45,9.38,56096,액션,"액션,소설원작",2023-02-12,2023-02-12,False,웹툰,2,False,True,0,0.0
242,Crimson Heart | นิยาย,HYBE,소설,1187,102578,3868,8.96,42,2023-07-14,2023-07-14,한국,,,0,,0,,,,,,,0,False,True,0,
243,ลูกพีชเดือนมิถุนายน,38 / YOO PAULHEE,로맨스판타지,37695,1100000,47966,9.61,3,2023-03-10,2023-03-10,한국,유월의 복숭아,글 유폴히 출판사동아,76,9.5,16,로판,로판,2018-05-30,2018-05-30,True,시리즈,9,False,True,0,0.0
244,ผู้ครอบครองดวงอาทิตย์,KONN / Song Yi,로맨스판타지,122762,3300000,53095,9.61,5,2023-03-17,2023-03-17,한국,태양의 주인,글 솔땀 그림 RoGer,168,9.7,73,로판,로판,2018-08-08,2018-08-08,True,시리즈,11,False,True,0,0.0
245,ศึกชิงบัลลังก์เทพเจ้า,Rundgreen / Masik Lee,액션,80291,2000000,78703,9.42,3,2022-07-01,2022-07-01,한국,악당이 살아가는 법,글 감사크 그림 이마식 원작 룬드그린,106,9.83,154814,액션,"액션,소설원작",2021-11-11,2021-11-11,False,웹툰,1,False,True,0,0.0
246,พิกล,Lee Jungwoo / Hong Ingeun,판타지,37174,1300000,60112,9.39,3,2022-08-05,2022-08-05,한국,괴이,글 이정우 그림 홍인근,66,9.72,97971,액션,액션,2022-03-28,2022-03-28,False,웹툰,1,False,True,0,0.0
247,กับดักหัวใจของนายยิ้มหวาน,แอ็งโก้,로맨스,795808,15800000,215971,9.85,6,2020-04-10,2020-05-01,한국,너의 미소가 함정,글/그림 앵고,131,9.94,227144,로맨스,"로맨스,하이틴",2020-03-12,2020-03-12,False,웹툰,1,False,True,21,0.0
248,Sweet Dream ฝันของฉัน ความหวานของเธอ,Butter Sweet,감성,21276,387947,22577,9.78,11,2022-12-29,2023-02-23,태국,,,0,,0,,,,,,,0,False,False,56,
249,REVERSE REVENGE สลับร่างทวงรัก,เจ้าหญิงผู้เลอโฉม,소설,6305,335247,23930,9.16,43,2022-12-29,2023-02-23,태국,,,0,,0,,,,,,,0,False,False,56,
250,Protect the Spirit,Pavida Yingprasert,판타지,120087,2600000,137811,9.83,21,2021-12-09,2022-04-14,태국,,,0,,0,,,,,,,0,False,False,126,
251,ชาตินี้น้องขอเป็นราชินี,Themis / Omin,로맨스판타지,1100000,28600000,504660,9.86,51,2022-10-08,2023-09-16,한국,"언니, 이번 생엔 내가 왕비야 [독점]",글 레팔진프 그림 미완,484,9.2,2107,로판,로판,2020-12-06,2023-06-15,False,시리즈,1,False,True,343,921.0
252,การแต่งงานครั้งใหม่ของจักรพรรดินี,อัลฟาทาร์ต / ซุมพุล,로맨스판타지,3900000,106400000,919186,9.88,149,2019-11-16,2023-09-16,한국,재혼 황후,글 히어리 그림 숨풀 원작 알파타르트,153,9.97,927240,로맨스,"로맨스,다정남,후회물,궁중로맨스,혐관로맨스,직진남,이세계,연상연하",2023-09-07,2023-09-07,False,웹툰,3,False,True,1400,0.0
253,Gimme your love มาตกหลุมรักฉันซะดีดี หรือต้องให้มีโดดจูบ,PrayerGirl,LGBTQ+ / Y,1200000,23400000,367555,9.82,76,2021-10-16,2023-08-18,태국,,,0,,0,,,,,,,0,False,False,671,
254,กลยุทธ์ฝึกทาสหนุ่มขาโหด,LICO / DANDOO,로맨스판타지,67708,1900000,126621,9.88,10,2023-07-15,2023-09-16,한국,흑화한 노예남을 길들였다,글/그림 LICO 원작 보랏빛마을,26,9.97,157953,로맨스,"로맨스,요즘핫한추천작,소설원작",2023-09-08,2023-09-08,False,웹툰,13,False,True,63,0.0
255,อ่านชะตาวันสิ้นโลก,Sleepy-C / UMI,판타지,2900000,76800000,646565,9.92,169,2020-07-04,2023-09-16,한국,전지적 독자 시점,글 UMI 그림 슬리피-C 원작 싱숑,176,9.89,1022904,판타지,"판타지,세계관,레드아이스 스튜디오,아포칼립스,게임판타지,헌터물",2020-05-26,2020-05-26,False,웹툰,2,False,True,1169,0.0
256,IVY,Jormungand / Boran,로맨스,647106,15000000,271607,9.69,69,2022-06-03,2023-09-15,태국,,,0,,0,,,,,,,0,False,False,469,
257,Angelic Lady,ซูซู / วาฟเฟิลพู,로맨스판타지,1400000,28500000,275147,9.73,130,2021-04-03,2023-09-16,한국,엔젤릭 레이디,글 수수 출판사페리윙클,199,9.6,12,로판,로판,2020-07-15,2020-07-15,True,시리즈,4,False,True,896,0.0
258,ปีศาจกลับมาเรียน,Siwon / Team the JICK,액션,48551,1300000,83580,9.88,13,2023-06-17,2023-09-16,한국,악의 등교,글 팀 더 지크 그림 시원 원작 산천,29,9.88,84941,액션,"액션,학원물,소설원작",2023-04-11,2023-09-12,False,웹툰,4,False,True,91,154.0
259,บันทึกครัวค่ายทหาร,ลีจินซู / J Robin,드라마,690963,17200000,159398,9.81,157,2020-09-26,2023-09-16,한국,취사병 전설이 되다,글/원작 제이로빈 그림 이진수,234,9.92,425025,판타지,"판타지,직업드라마,밀리터리,게임판타지,음식&요리,소설원작",2023-09-08,2023-09-08,False,웹툰,2,False,True,1085,0.0
260,แด่เธอผู้ครอบครองดวงดาว,ARI,로맨스,723214,21200000,280990,9.8,146,2020-08-15,2023-09-16,한국,별을 삼킨 너에게,글/그림 ARI,157,9.96,464527,로맨스,"로맨스,아이돌,최강자전,2019 최강자전,친구>연인,연예계,연상연하",2023-09-06,2023-09-06,False,웹툰,2,False,True,1127,0.0
261,รักลับๆ ของฉันกับศาสตราจารย์จอมเฮี้ยบ,อูยาเสี่ยวอี้ / ลีลีกวาลี,로맨스,1200000,43400000,480909,9.64,158,2020-09-19,2023-09-16,중국,,,0,,0,,,,,,,0,False,True,1092,
262,สาวจากแรนดอมแชต,พักอึนฮยอก,드라마,1600000,56200000,333013,9.77,298,2017-12-16,2023-09-16,한국,랜덤채팅의 그녀!,글/그림 박은혁,302,7.62,569760,드라마,"드라마,학원물",2023-09-11,2023-09-11,False,웹툰,3,False,True,2100,0.0
263,เส้นทางสู่เทพมาร,Kwang Hwi / Hyung Geun Cho,액션,119518,3400000,101530,9.84,53,2022-09-24,2023-09-16,한국,천마육성,글/그림 광휘 원작 조형근,87,9.54,189927,무협/사극,"무협/사극,게임판타지,회귀,먼치킨,소설원작",2021-10-06,2021-10-06,False,웹툰,2,False,True,357,0.0
264,หมาหัวเน่าเก๋าเกินไป,team ggulbal,액션,28492,1000000,47117,9.57,17,2023-05-20,2023-09-16,한국,왕따가 격투기를 너무 잘함,글/그림 김꿀빨 원작 아몬드빵,34,9.81,86603,액션,"액션,지금추천작,소설원작",2023-09-12,2023-09-12,False,웹툰,4,False,True,119,0.0
265,คุณพ่อ ม.ปลาย,คิมแจฮัน,액션,454524,13500000,319632,9.81,63,2021-03-27,2023-09-16,한국,급식아빠,글/그림 김재한,107,9.81,367493,액션,"액션,학원물",2021-01-19,2021-01-19,False,웹툰,6,False,True,903,0.0
266,เกมของยอดมนุษย์,Plan A / Two-zero,액션,98857,2800000,94896,9.82,42,2022-12-10,2023-09-16,한국,초인의 게임,글 Two-zero 그림 플랜에이 원작 니콜로,72,9.91,189411,판타지,"판타지,히어로,헌터물,이능력배틀물,소설원작",2022-06-06,2023-09-11,False,웹툰,1,False,True,280,462.0
267,ผู้พิชิตเกมป้องกันฐาน,Gyong / Ha Jung,판타지,10203,288651,24491,9.83,7,2023-07-29,2023-09-16,한국,디펜스 게임의 폭군이 되었다,글 하정 그림 굥 원작 류은가람,63,9.97,142224,판타지,"판타지,소설원작",2023-09-08,2023-09-08,False,웹툰,2,False,True,49,0.0
268,เกมพิชิตคนพาล,HON,액션,40489,1300000,57651,9.38,33,2023-02-11,2023-09-16,한국,절대복종,글/그림 혼,61,6.45,54457,액션,"액션,게임판타지,학원물",2022-08-25,2023-09-07,False,웹툰,2,False,True,217,378.0
269,การกลับมาของแรงเกอร์,zuno / to walk(REDICE STUDIO),액션,124067,2900000,97272,9.82,50,2022-10-15,2023-09-16,한국,HD랭커의 귀환,"글 이산책, 호박새(REDICE STUDIO), 영비람 그림 박준호",120,9.6,34,소년,소년,2021-07-30,2023-09-13,False,시리즈,1,False,True,336,775.0
270,HERO KILLER,กุลบอล / บอลกุล,액션,495888,11400000,170927,9.79,122,2021-05-29,2023-09-16,한국,히어로 킬러,글 꿀벌 그림 벌꿀,137,9.91,239732,액션,"액션,히어로",2021-02-25,2023-09-07,False,웹툰,1,False,True,840,924.0
271,ชีวิตใหม่ของยัยเลดี้ตัวประกอบ,Crike / SeulA,로맨스판타지,266931,6100000,137274,9.4,78,2022-04-02,2023-09-16,한국,한 줄짜리 영애였을 터,글 라티네 출판사에이블,430,9.2,15,로판,로판,2020-05-28,2020-06-02,True,시리즈,4,False,True,532,5.0
272,จูบนี้ไม่ฟรีนะครับ,พัคซูจอง / ลูฮง,로맨스,219831,7400000,119267,9.51,98,2021-11-13,2023-09-16,한국,신부가 필요해,글/그림 루홍 미니 원작 박수정,100,9.57,195496,로맨스,"로맨스,소설원작,완결로맨스",2021-11-11,2022-12-15,True,웹툰,4,False,True,672,399.0
273,เซียนสัมผัสดาบ,TI / KDRM,액션,30185,864806,39763,9.69,28,2023-03-18,2023-09-16,한국,절대검감,글 김두루미 그림 티아이 원작 한중월야,49,9.94,118537,무협/사극,"무협/사극,환골탈태,소설원작",2022-06-19,2023-09-10,False,웹툰,3,False,True,182,448.0
274,สูตรลับฉบับเลิฟ,นัมซู,로맨스,587020,8600000,118258,9.88,158,2020-10-24,2023-09-16,한국,바른연애 길잡이,글/그림 남수,159,9.53,1006374,로맨스,"로맨스,동아리,캠퍼스로맨스,역하렘,삼각관계,완결로맨스",2018-03-12,2021-07-26,True,웹툰,3,False,True,1057,1232.0
275,นางร้ายที่ไหนจะมีคุณธรรม,Eeyeol Chun / STUDIO107,로맨스판타지,340489,8300000,183564,8.66,86,2022-02-05,2023-09-16,한국,악녀에게 의리가 어디 있어 [개정판],글 천의얼 출판사필연매니지먼트,271,9.6,12,로판,로판,2021-05-19,2021-05-19,True,시리즈,6,False,True,588,0.0
276,ตำนานสัญญาวิวาห์แม่นางพัค,Datda / Angelique,로맨스,95126,2400000,62574,9.66,73,2022-05-07,2023-09-16,한국,열녀박씨 계약결혼뎐,글 안젤리크 그림 닷다 원작 김너울,114,9.86,129420,로맨스,"로맨스,계약연애,퓨전사극,선결혼후연애,소설원작",2020-12-28,2021-02-08,False,웹툰,1,False,True,497,42.0
277,เซียนเกม นอกจอ,ซังยอง ซอง / ซังอา,판타지,1500000,89100000,415123,9.71,459,2015-12-04,2023-09-16,한국,더 게이머,글 성상영 그림 상아,479,7.13,392907,판타지,"판타지,게임판타지,먼치킨",2013-09-05,2023-09-07,False,웹툰,1,False,True,2843,3654.0
278,The Golden Spoon,HD3,드라마,40123,1000000,27521,9.49,54,2022-09-17,2023-09-16,한국,금수저,글/그림 HD3,106,9.96,429518,드라마,"드라마,완결드라마",2016-06-10,2018-06-15,True,웹툰,6,False,True,364,735.0
279,ก่อนที่จะเสียเธอไป,กีอน / ยูซงจู,로맨스,48609,1600000,56860,9.11,40,2021-10-30,2023-09-16,한국,놓치기 전에 [개정판],글 유송주 출판사플로레뜨,47,9.5,4,로맨스,로맨스,2019-09-27,2019-09-27,True,시리즈,21,False,True,686,0.0
280,Meow Man,OLSO,개그,144875,2000000,57797,9.71,95,2021-12-04,2023-09-16,한국,냐한남자,글/그림 올소,155,9.94,306394,로맨스,"로맨스,동물,완결로맨스",2018-03-15,2021-03-11,True,웹툰,3,False,True,651,1092.0
281,GOD PINK,ลีซังชิน / กุกจุงรก,액션,104346,2500000,37962,9.34,133,2021-03-13,2023-09-16,한국,갓핑크,글 이상신 그림 국중록,151,9.34,118303,판타지,"판타지,완결판타지",2018-08-17,2021-07-16,True,웹툰,5,False,True,917,1064.0
282,Island,Inwan Youn / Kyungil Yang,스릴러,25776,744089,51160,9.58,37,2023-01-14,2023-09-16,한국,[드라마원작] 아일랜드 1부,글 윤인완 그림 양경일,72,9.9,129591,스릴러,"스릴러,슈퍼스트링,드라마&영화 원작웹툰,완결스릴러",2016-05-10,2016-10-20,True,웹툰,10,True,True,245,163.0
283,แบทแมน : การผจญภัยของครอบครัวเวย์น,StarBite! / CRC Payne,액션,58201,1200000,33131,9.69,83,2021-11-20,2023-09-16,한국,배트맨: 웨인 패밀리 어드벤처,글 CRC Payne 그림 StarBite,101,9.72,14113,일상,"일상,해외작품,히어로",2021-11-24,2023-09-06,False,웹툰,1,False,True,665,651.0
284,Connect,Shin Dae-sung,스릴러,20348,509982,24644,9.25,44,2022-11-26,2023-09-16,한국,커넥트,글/그림 신대성,83,9.73,65569,스릴러,"스릴러,드라마&영화 원작웹툰,완결스릴러",2019-05-14,2020-12-08,True,웹툰,2,True,True,294,574.0
285,ฝันหวานสานรอยแค้น,2L,드라마,330031,6200000,141910,9.86,3,2022-07-02,2022-07-02,한국,꿈에서 자유로,글/그림 2L,107,9.93,455667,드라마,"드라마,집착물",2021-12-28,2021-12-28,False,웹툰,1,False,True,0,0.0
286,7FATES: CHAKHO | นิยาย,HYBE,소설,24841,312726,43306,9.73,87,2022-07-02,2022-07-02,한국,7FATES: CHAKHO,글/그림 HYBE,53,8.21,124563,판타지,"판타지,완결판타지",2022-01-15,2023-05-19,True,웹툰,6,False,True,0,489.0
287,ราชาแห่งอ็อกทากอน,GOPUBI / peeleep,액션,70542,2600000,74548,9.46,3,2022-08-27,2022-08-27,한국,옥타곤의 제왕,글 GOPUBI 그림 GOPUBI,82,8.6,13,소년,소년,2022-05-24,2023-08-16,False,시리즈,1,False,True,0,449.0
288,ความปรารถนาที่ไม่อาจหักห้ามใจ,Bagatel/EYE / INO,로맨스,21581,1000000,34975,9.62,3,2023-04-29,2023-04-29,한국,지독한 중독,글 이노/황한영 그림 바가텔/EYE,49,9.5,4,순정,순정,2022-05-18,2023-06-22,True,시리즈,1,False,True,0,400.0
289,สถิตรักในสายลม,yusa,LGBTQ+ / Y,76598,1700000,47477,9.8,3,2022-11-12,2022-11-12,한국,19바람이 머무는 자리 [무삭제판][BL],글 유사 그림 유사,85,9.8,173,BL,BL,2020-04-29,2023-06-09,True,시리즈,9,False,True,0,1136.0
290,นักสู้บู๊ไม่ถอย,DAYWALKER / JUN SANG YOUNG,액션,8575,254702,21405,9.2,3,2023-04-08,2023-04-08,한국,싸움꾼,글 전상영 그림 유상진,59,9.79,53972,액션,"액션,격투기",2022-10-04,2022-10-04,False,웹툰,2,False,True,0,0.0
291,เทพซ่าหัวหน้าคนสุดท้าย,KIM JANGHUN / PARK SUBONG,액션,43883,1200000,47078,9.05,3,2022-06-25,2022-06-25,한국,최종보스 공대장,글 김장훈 그림 박수봉 하성신,114,9.89,199542,판타지,"판타지,게임판타지",2021-11-11,2021-11-11,False,웹툰,7,False,True,0,0.0
292,Hardcore Leveling Warrior,คิมเซฮุน,액션,30609,737632,24184,9.04,3,2022-03-12,2022-03-12,한국,열렙전사,글/그림 김세훈,318,9.45,362373,판타지,"판타지,게임판타지,먼치킨,완결판타지",2016-01-23,2022-03-19,True,웹툰,4,False,True,0,2247.0
293,GET BACK,Seyoon,드라마,51172,835541,32080,9.62,3,2022-04-16,2022-04-16,한국,겟백,글/그림 세윤,147,9.95,400849,드라마,"드라마,최강자전,2018 최강자전,서스펜스,완결드라마",2019-05-08,2022-04-13,True,웹툰,2,False,True,0,1071.0
294,วันทองไร้ใจ,Mu,로맨스판타지,2300000,54200000,684330,9.86,83,2021-10-09,2023-05-26,태국,,,0,,0,,,,,,,0,False,False,594,
295,ฉันมันร้าย หรือเพราะโลกไม่น่ารัก,โอรี,드라마,601629,10800000,151981,9.76,144,2020-08-29,2023-05-13,한국,칼가는 소녀,글/그림 오리,164,9.93,398229,드라마,"드라마,최강자전,2018 최강자전,성장드라마,걸크러시,감성드라마",2019-06-30,2023-09-10,False,웹툰,1,False,True,987,1533.0
296,สงครามนักรบผู้หวนคืน,นาลัค / พุงแบ๊ก,판타지,232683,9300000,165402,7.78,85,2021-08-28,2023-03-18,한국,용사가 돌아왔다,글 나락 그림 풍백,106,9.91,264705,액션,"액션,차원이동,아포칼립스,먼치킨,다크판타지",2021-06-07,2023-09-11,False,웹툰,5,False,True,567,826.0
297,ยอดภรรยาของท่านลอร์ดแวมไพร์,Kumokaya,로맨스판타지,170865,4400000,136304,9.74,39,2022-06-11,2023-02-18,인도네시아,,,0,,0,,,,,,,0,False,True,252,
298,Sweetie Calories ฟิตหุ่นลุ้นรัก,JISARA,로맨스,125547,2800000,64250,8.85,40,2021-01-09,2021-09-24,태국,,,0,,0,,,,,,,0,False,False,258,
299,เด็กห้องนี้ มีแปลก,ยอง ปากา,개그,819290,33700000,234082,9.63,328,2015-03-02,2021-02-20,한국,평범한 8반,글/그림 영파카,399,6.23,631632,드라마,"드라마,완결드라마",2013-11-03,2022-05-01,True,웹툰,3,False,True,2182,3101.0
300,ฉันนี่แหละท่านขุนที่สวยที่สุดในสยาม,ยืนกินปากกาที่ท่าพระ,LGBTQ+ / Y,1500000,37800000,674574,9.92,57,2022-06-25,2023-09-16,태국,,,0,,0,,,,,,,0,False,False,448,
301,การศึกษาที่แท้จริง,ฮันการัม / แชยงแทก,액션,2500000,68500000,684846,9.91,115,2021-02-28,2023-09-17,한국,참교육,글 채용택 그림 한가람,126,9.88,887262,액션,"액션,블루스트링,사이다,학원물,먼치킨,다크히어로",2020-11-01,2023-09-10,False,웹툰,4,False,True,931,1043.0
302,ลูกสะใภ้ที่รัก,Gyeoni / Tae Sojung,로맨스판타지,31658,874096,94222,9.84,5,2023-08-13,2023-09-17,한국,사랑받는 시집살이,글/그림 견이 원작 태소정,21,9.81,130661,로맨스,"로맨스,요즘핫한추천작,러블리,힐링,로판,소설원작",2023-05-27,2023-09-09,False,웹툰,1,False,True,35,105.0
303,ปฏิบัติการรักวุ่นหัวใจ,kkokkalee / Dledumb,로맨스,632128,15100000,335143,9.8,48,2022-10-23,2023-09-17,한국,작전명 순정,글 꼬까리 그림 들덤,78,9.96,693868,로맨스,"로맨스,2021 지상최대공모전,하이틴",2022-04-08,2023-09-08,False,웹툰,1,False,True,329,518.0
304,บุปผาของสัตว์ป่า,Habrin / Charles,로맨스판타지,83202,2600000,127819,9.76,14,2023-06-11,2023-09-17,한국,짐승의 꽃,글 하브린 그림 옆집찰스 원작 황도톨,39,9.79,80686,로맨스,"로맨스,고자극로맨스,2030연애,로판,소설원작",2023-01-23,2023-09-11,False,웹툰,5,False,True,98,231.0
305,นักสู้ทูปเบอร์,KJH STUDIO / ปาร์คแทจุน,액션,2600000,86500000,638127,9.87,193,2019-12-22,2023-09-17,한국,싸움독학,글 박태준 만화회사 그림 김정현 스튜디오,202,8.04,1078187,액션,"액션,학원물,인플루언서,소년왕도물",2019-11-16,2023-09-09,False,웹툰,11,False,True,1365,1393.0
306,แผนสยบหมาบ้าของอดีตสามี,Jagae / CMJM,로맨스판타지,184471,3800000,148771,9.83,28,2023-03-12,2023-09-17,한국,전남편의 미친개를 길들였다,글 철무장미 그림 자개 원작 재겸,45,9.93,215836,로맨스,"로맨스,소설원작",2022-12-22,2023-09-07,False,웹툰,2,False,True,189,259.0
307,หัวหน้าคิม,จองจงแทก / ปาร์คแทจุน,액션,635819,19600000,292869,9.83,91,2021-12-26,2023-09-17,한국,김부장,글 박태준 만화회사 그림 정종택,103,8.73,568917,액션,"액션,사이다,먼치킨,다크히어로,느와르",2021-11-01,2023-09-11,False,웹툰,11,False,True,630,679.0
308,Study Group,ชินฮยองอุก / ยูซึงยอน,액션,2900000,87300000,811299,9.88,217,2019-04-14,2023-09-17,한국,스터디그룹,글 신형욱 그림 유승연,227,9.88,628383,액션,"액션,블루스트링,힘숨찐,학원물",2019-01-04,2023-09-08,False,웹툰,5,False,True,1617,1708.0
309,ผู้เล่นหน้าใหม่เลเวลแมกซ์,swingbat / WAN.Z,판타지,794778,26700000,374430,9.69,103,2021-09-19,2023-09-17,한국,나 혼자 만렙 뉴비,글 WAN.Z 그림 스윙뱃 원작 메슬로우,118,9.66,515413,판타지,"판타지,고인물,레드아이스 스튜디오,사이다,게임판타지,헌터물,먼치킨",2021-07-29,2023-09-07,False,웹툰,1,False,True,728,770.0
310,อาชญากรวัยเยาว์,Man's story / jongteak Jung,액션,48760,1400000,79103,9.89,12,2023-06-18,2023-09-17,한국,촉법소년,글 박태준 만화회사 남자의 이야기 그림 정종택,28,9.79,272968,액션,"액션,지금추천작",2023-04-05,2023-09-06,False,웹툰,11,False,True,91,154.0
