,제목,작가,장르(태국),좋아요수,조회수,구독수,별점,회차,연재시작일(태국),마지막연재일(태국),국가,한국제목,한국작가명,회차(한국),별점(한국),관심수(한국),장르(한국),해시태그(한국),연재시작일(한국),마지막연재일(한국),완결여부,웹툰/시리즈구분,작가전작개수,OSMU여부,태국진출여부,연재기간(태국),연재기간(한국)
768,เกรียนเทพอย่างผมไม่มีแล้วนะค้าบ,เกาลัด / โยฮัน,개그,337327,11100000,160128,9.47,96,2015-11-08,2016-12-11,태국,,,0,,0,,,,,,,0,False,False,399,
769,คู่จิ้นวายเจ้าชายวัยซ่า,แจอา / ซีอา,로맨스,678785,23800000,371321,9.71,89,2015-11-16,2016-09-12,한국,프린스의 왕자,글 재아 그림 SE,64,9.93,216647,개그,"개그,레드스트링,완결개그",2014-05-04,2015-07-26,True,웹툰,7,False,True,301,448.0
770,POM มั้ยล่ะเนี่ย?,Kanomsaimai,개그,336064,11600000,127120,9.78,61,2015-12-27,2016-06-26,태국,,,0,,0,,,,,,,0,False,False,182,
771,ออสการ์ ลอดจ์,สหมงคลฟิล์ม อินเตอร์เนชั่นแนล,스릴러,11819,780160,37646,9.23,1,2016-04-29,2016-04-29,태국,,,0,,0,,,,,,,0,False,False,0,
772,สงกรานต์นี้มีเพื่อน,JRRH,스릴러,9832,584674,13002,9.22,1,2016-04-16,2016-04-16,태국,,,0,,0,,,,,,,0,False,False,0,
773,กรุ๊ปเลือด บอกนิสัย,ปาร์คดงซอน,개그,623179,29700000,406317,9.61,149,2015-11-08,2016-03-28,한국,혈액형에 관한 간단한 고찰,글/그림 박동선,226,9.87,291138,일상,"일상,완결무료,완결일상",2011-04-02,2015-02-27,True,웹툰,1,False,True,141,1427.0
774,โนเบลส Spin-off,Son Je-ho / กวางซู ลี,판타지,107384,5200000,175254,9.88,10,2016-02-04,2016-02-14,한국,노블레스,글 손제호 그림 이광수,545,8.03,1353873,판타지,"판타지,먼치킨,완결판타지",2007-12-30,2019-01-07,True,웹툰,5,False,True,10,4026.0
775,เลซซา มือปราบอสูร,โปโก,판타지,173438,11300000,146250,9.73,58,2015-01-19,2015-11-26,한국,레사 시즌1,글/그림 POGO,59,9.94,205139,판타지,"판타지,먼치킨,완결판타지",2012-06-21,2012-06-21,True,웹툰,6,False,True,311,0.0
776,ติดลม ห้อยเวหา : เรื่องฟายๆ,Zylostudio,개그,116298,6100000,64061,9.2,52,2015-10-16,2015-12-15,태국,,,0,,0,,,,,,,0,False,False,60,
777,สาวน้อยมนตราซ่าได้อีก,Seri / Biwan,판타지,189323,8300000,105278,9.38,14,2015-09-14,2015-10-12,한국,매지컬 고삼즈,글 seri 그림 비완,147,9.93,164942,판타지,"판타지,완결판타지",2013-11-06,2016-11-30,True,웹툰,3,False,True,28,1120.0
